TransactionID,TransactionAmt,risk_score,top_reason,cluster_id
3545361,300.0,0.9996458637442822,anonymized engineered feature V258 (value=5.00) - pushed risk up; exact business meaning not disclosed by the data provider; anonymized engineered feature V156 (value=4.00) - pushed risk up; exact business meaning not disclosed by the data provider; anonymized engineered feature V149 (value=5.00) - pushed risk up; exact business meaning not disclosed by the data provider,
3540439,54.225,0.9996416206944244,anonymized engineered feature DeviceInfo (value=SM-G920P Build/NRD90M) - pushed risk up; exact business meaning not disclosed by the data provider; anonymized engineered feature C1 (value=86.00) - pushed risk up; exact business meaning not disclosed by the data provider; anonymized engineered feature V258 (value=4.00) - pushed risk up; exact business meaning not disclosed by the data provider,1368.0
3540433,54.225,0.999633944056498,anonymized engineered feature DeviceInfo (value=SM-G920P Build/NRD90M) - pushed risk up; exact business meaning not disclosed by the data provider; anonymized engineered feature C1 (value=85.00) - pushed risk up; exact business meaning not disclosed by the data provider; anonymized engineered feature V258 (value=3.00) - pushed risk up; exact business meaning not disclosed by the data provider,1368.0
3540441,54.225,0.9996051232919372,anonymized engineered feature DeviceInfo (value=SM-G920P Build/NRD90M) - pushed risk up; exact business meaning not disclosed by the data provider; anonymized engineered feature C1 (value=86.00) - pushed risk up; exact business meaning not disclosed by the data provider; anonymized engineered feature V258 (value=4.00) - pushed risk up; exact business meaning not disclosed by the data provider,1368.0
3519759,450.0,0.9995706794033852,anonymized engineered feature V156 (value=7.00) - pushed risk up; exact business meaning not disclosed by the data provider; unusually high transaction amount ($450.00); anonymized engineered feature id_33 (value=1365x768) - pushed risk up; exact business meaning not disclosed by the data provider,14083.0
3540434,54.225,0.9995693587848996,anonymized engineered feature DeviceInfo (value=SM-G920P Build/NRD90M) - pushed risk up; exact business meaning not disclosed by the data provider; anonymized engineered feature C1 (value=85.00) - pushed risk up; exact business meaning not disclosed by the data provider; anonymized engineered feature V258 (value=3.00) - pushed risk up; exact business meaning not disclosed by the data provider,1368.0
3556658,300.0,0.9995590601128724,anonymized engineered feature V258 (value=4.00) - pushed risk up; exact business meaning not disclosed by the data provider; anonymized engineered feature V156 (value=4.00) - pushed risk up; exact business meaning not disclosed by the data provider; unusually high transaction amount ($300.00),
3529001,54.225,0.999554357410302,anonymized engineered feature DeviceInfo (value=SM-G920P Build/NRD90M) - pushed risk up; exact business meaning not disclosed by the data provider; anonymized engineered feature C1 (value=85.00) - pushed risk up; exact business meaning not disclosed by the data provider; anonymized engineered feature V258 (value=3.00) - pushed risk up; exact business meaning not disclosed by the data provider,1368.0
3540438,54.225,0.9995456177125585,anonymized engineered feature DeviceInfo (value=SM-G920P Build/NRD90M) - pushed risk up; exact business meaning not disclosed by the data provider; anonymized engineered feature C1 (value=86.00) - pushed risk up; exact business meaning not disclosed by the data provider; anonymized engineered feature V258 (value=4.00) - pushed risk up; exact business meaning not disclosed by the data provider,1368.0
3540435,54.225,0.999543767810954,anonymized engineered feature DeviceInfo (value=SM-G920P Build/NRD90M) - pushed risk up; exact business meaning not disclosed by the data provider; anonymized engineered feature C1 (value=86.00) - pushed risk up; exact business meaning not disclosed by the data provider; anonymized engineered feature V258 (value=4.00) - pushed risk up; exact business meaning not disclosed by the data provider,1368.0
