cluster_id,TransactionID,shared_attribute,cluster_fraud_rate
19,3023392,card_addr,0.1111111111111111
19,3076162,card_addr,0.1111111111111111
19,3076489,card_addr,0.1111111111111111
19,2987019,card_addr,0.1111111111111111
19,3519084,card_addr,0.1111111111111111
19,2991507,card_addr,0.1111111111111111
19,3015316,card_addr,0.1111111111111111
19,3283283,card_addr,0.1111111111111111
19,3498425,card_addr,0.1111111111111111
95,3576330,card_addr,0.1034482758620689
95,3300363,card_addr,0.1034482758620689
95,3415443,card_addr,0.1034482758620689
95,3459863,card_addr,0.1034482758620689
95,3163933,card_addr,0.1034482758620689
95,3497762,card_addr,0.1034482758620689
95,3261861,card_addr,0.1034482758620689
95,3072167,card_addr,0.1034482758620689
95,3334835,card_addr,0.1034482758620689
95,3221178,card_addr,0.1034482758620689
95,3266618,card_addr,0.1034482758620689
95,3460415,card_addr,0.1034482758620689
95,3259975,card_addr,0.1034482758620689
95,3557835,card_addr,0.1034482758620689
95,3377870,card_addr,0.1034482758620689
95,3555668,card_addr,0.1034482758620689
95,3200215,card_addr,0.1034482758620689
95,3278297,card_addr,0.1034482758620689
95,2987097,card_addr,0.1034482758620689
95,3080155,card_addr,0.1034482758620689
95,3380702,card_addr,0.1034482758620689
95,3437792,card_addr,0.1034482758620689
95,3366500,card_addr,0.1034482758620689
95,3087589,card_addr,0.1034482758620689
95,3079926,card_addr,0.1034482758620689
95,3193974,card_addr,0.1034482758620689
95,3007736,card_addr,0.1034482758620689
95,3479164,card_addr,0.1034482758620689
95,2992127,card_addr,0.1034482758620689
102,3495940,device,0.2127659574468085
102,3454472,device,0.2127659574468085
102,3400718,device,0.2127659574468085
102,3039253,device,0.2127659574468085
102,3493397,device,0.2127659574468085
102,3555349,device,0.2127659574468085
102,3431964,device,0.2127659574468085
102,3039262,device,0.2127659574468085
102,3447329,device,0.2127659574468085
102,3506215,device,0.2127659574468085
102,3063337,device,0.2127659574468085
102,3063339,device,0.2127659574468085
102,3398198,device,0.2127659574468085
102,3547192,device,0.2127659574468085
102,3554873,device,0.2127659574468085
102,3450943,device,0.2127659574468085
102,3107398,device,0.2127659574468085
102,3288652,device,0.2127659574468085
102,3288658,device,0.2127659574468085
102,3397202,device,0.2127659574468085
102,3288661,device,0.2127659574468085
102,3399766,device,0.2127659574468085
102,3288671,device,0.2127659574468085
102,2987105,device,0.2127659574468085
102,3122279,device,0.2127659574468085
102,3306088,device,0.2127659574468085
102,3247209,device,0.2127659574468085
102,3467897,device,0.2127659574468085
102,3430523,device,0.2127659574468085
102,3412098,device,0.2127659574468085
102,3430536,device,0.2127659574468085
102,3499656,device,0.2127659574468085
102,3458188,device,0.2127659574468085
102,3038354,device,0.2127659574468085
102,3430546,device,0.2127659574468085
102,3038360,device,0.2127659574468085
102,3038369,device,0.2127659574468085
102,3038372,device,0.2127659574468085
102,3394729,device,0.2127659574468085
102,3560116,device,0.2127659574468085
102,3254968,device,0.2127659574468085
102,3573446,device,0.2127659574468085
102,3401939,device,0.2127659574468085
102,3401944,device,0.2127659574468085
102,3430641,device,0.2127659574468085
102,3430647,device,0.2127659574468085
102,3558135,device,0.2127659574468085
102,3491065,device,0.2127659574468085
102,3577079,device,0.2127659574468085
102,3577083,device,0.2127659574468085
102,3577084,device,0.2127659574468085
102,3430655,device,0.2127659574468085
102,3577087,device,0.2127659574468085
102,3401988,device,0.2127659574468085
102,3577092,device,0.2127659574468085
102,3401992,device,0.2127659574468085
102,3577103,device,0.2127659574468085
102,3089685,device,0.2127659574468085
102,3374888,device,0.2127659574468085
102,3228978,device,0.2127659574468085
102,3577147,device,0.2127659574468085
102,3493718,device,0.2127659574468085
102,3321177,device,0.2127659574468085
102,3159392,device,0.2127659574468085
102,3335015,device,0.2127659574468085
102,3108713,device,0.2127659574468085
102,3241321,device,0.2127659574468085
102,3391852,device,0.2127659574468085
102,3053951,device,0.2127659574468085
102,3126144,device,0.2127659574468085
102,3053955,device,0.2127659574468085
102,3535240,device,0.2127659574468085
102,3321227,device,0.2127659574468085
102,3381646,device,0.2127659574468085
102,3043728,device,0.2127659574468085
102,3086227,device,0.2127659574468085
102,3290003,device,0.2127659574468085
102,3553171,device,0.2127659574468085
102,3381654,device,0.2127659574468085
102,3567509,device,0.2127659574468085
102,3127705,device,0.2127659574468085
