TransactionID,feature_name,shap_value,feature_value
3545361,V258,1.676253164149238,5.0
3545361,V156,0.9540807668394506,4.0
3545361,V149,0.9060869632536452,5.0
3545361,TransactionAmt,0.7605518970767043,300.0
3545361,id_30,-0.6223664607073106,iOS 11.3.0
3545361,C14,0.6080425768816952,0.0
3545361,C1,0.5888730161230765,5.0
3545361,R_emaildomain,0.5807694373531719,gmail.com
3545361,C13,0.5543366420588622,0.0
3545361,C11,0.5246942647416551,5.0
3540439,DeviceInfo,1.8943222840716267,SM-G920P Build/NRD90M
3540439,C1,1.3486881723257207,86.0
3540439,V258,1.1052094964236605,4.0
3540439,V45,0.6483559194782649,9.0
3540439,C11,0.4345537828903698,54.0
3540439,C12,0.4287757561822395,54.0
3540439,R_emaildomain,0.4217737931495662,gmail.com
3540439,V189,0.3945336306978494,5.0
3540439,C10,0.3693382781404166,26.0
3540439,C8,0.3607799872733687,72.0
3540433,DeviceInfo,1.9824357964151964,SM-G920P Build/NRD90M
3540433,C1,1.4406000595143251,85.0
3540433,V258,0.8211801863274958,3.0
3540433,V45,0.7053317257494486,7.0
3540433,C12,0.4686146787396122,54.0
3540433,C11,0.4656117100108661,54.0
3540433,R_emaildomain,0.456108976498422,gmail.com
3540433,V189,0.443830578367362,4.0
3540433,C8,0.3778196162538008,72.0
3540433,C10,0.3711386835155117,26.0
3540441,DeviceInfo,1.909201056265354,SM-G920P Build/NRD90M
3540441,C1,1.3489631240862183,86.0
3540441,V258,1.107907643306075,4.0
3540441,V45,0.6454433387613605,9.0
3540441,C12,0.457918064848519,54.0
3540441,C11,0.4260190838944501,54.0
3540441,R_emaildomain,0.422151716437508,gmail.com
3540441,V189,0.3851908194819543,5.0
3540441,C10,0.3789625060671367,26.0
3540441,C8,0.3726868127814421,72.0
3519759,V156,1.0254210184681114,7.0
3519759,TransactionAmt,0.9626408633614536,450.0
3519759,id_33,0.9411499476224936,1365x768
3519759,V258,0.9192293847766017,2.0
3519759,V149,0.826908970629182,7.0
3519759,C13,0.8083557275720732,0.0
3519759,C1,0.7740865038841774,7.0
3519759,C14,0.7162059753038752,0.0
3519759,R_emaildomain,0.5782333360725291,gmail.com
3519759,C11,0.5102495536388966,7.0
3540434,DeviceInfo,1.9611412153497845,SM-G920P Build/NRD90M
3540434,C1,1.5263765423724036,85.0
3540434,V258,0.7915527137633439,3.0
3540434,V45,0.7005401966118172,7.0
3540434,C12,0.4897742796964445,54.0
3540434,C11,0.4586586977869993,54.0
3540434,V189,0.4283777478507624,4.0
3540434,R_emaildomain,0.4262326966771319,gmail.com
3540434,C10,0.3795146531203293,26.0
3540434,C8,0.3786300440432562,72.0
3556658,V258,1.2687705665968303,4.0
3556658,V156,1.0236455874968806,4.0
3556658,TransactionAmt,0.8764849022455378,300.0
3556658,V149,0.841043427810014,4.0
3556658,C1,0.6788343347549574,5.0
3556658,C14,0.661977149575269,0.0
3556658,C13,0.6310783984660359,0.0
3556658,R_emaildomain,0.6075726331494289,gmail.com
3556658,id_30,-0.5776701830554309,iOS 11.3.0
3556658,C11,0.5698561176825835,5.0
3529001,DeviceInfo,2.1406626665602055,SM-G920P Build/NRD90M
3529001,C1,1.4363326685311244,85.0
3529001,V258,0.9729680744362365,3.0
3529001,V45,0.6889480623078629,14.0
